#Be Density=1.848 Thickness=25.4 microns
#Photon Energy (eV), Transmission
11324.0, 0.99802
11364.0, 0.99804
11404.0, 0.99805
11444.0, 0.99807
11484.0, 0.99808
11524.0, 0.99810
11564.0, 0.99811
11604.0, 0.99812
11644.0, 0.99814
11684.0, 0.99815
11724.0, 0.99816
11764.0, 0.99818
11804.0, 0.99819
11844.0, 0.99820
11884.0, 0.99821
11924.0, 0.99823
11964.0, 0.99824
12004.0, 0.99825
12044.0, 0.99826
12084.0, 0.99827
12124.0, 0.99828
12164.0, 0.99830
12204.0, 0.99831
12244.0, 0.99832
12284.0, 0.99833
12324.0, 0.99834
12364.0, 0.99835
12404.0, 0.99836
12444.0, 0.99837
12484.0, 0.99838
12524.0, 0.99839
12564.0, 0.99840
12604.0, 0.99841
12644.0, 0.99842
12684.0, 0.99843
12724.0, 0.99844
12764.0, 0.99845
12804.0, 0.99845
12844.0, 0.99846
12884.0, 0.99847
12924.0, 0.99848
12964.0, 0.99849
13004.0, 0.99850
13043.0, 0.99851
13083.0, 0.99851
13123.0, 0.99852
13163.0, 0.99853
13203.0, 0.99854
13243.0, 0.99854
13283.0, 0.99855
13323.0, 0.99856
13363.0, 0.99857
13403.0, 0.99857
13443.0, 0.99858
13483.0, 0.99859
13523.0, 0.99860
13563.0, 0.99860
13603.0, 0.99861
13643.0, 0.99862
13683.0, 0.99862
13723.0, 0.99863
13763.0, 0.99864
13803.0, 0.99864
13843.0, 0.99865
13883.0, 0.99865
13923.0, 0.99866
13963.0, 0.99867
14003.0, 0.99867
14043.0, 0.99868
14083.0, 0.99868
14123.0, 0.99869
14163.0, 0.99869
14203.0, 0.99870
14243.0, 0.99871
14283.0, 0.99871
14323.0, 0.99872
14363.0, 0.99872
14403.0, 0.99873
14443.0, 0.99873
14483.0, 0.99874
14523.0, 0.99874
14563.0, 0.99875
14603.0, 0.99875
14643.0, 0.99876
14683.0, 0.99876
14723.0, 0.99877
14763.0, 0.99877
14803.0, 0.99878
14843.0, 0.99878
14883.0, 0.99878
14923.0, 0.99879
14963.0, 0.99879
15002.0, 0.99880
15042.0, 0.99880
15082.0, 0.99881
15122.0, 0.99881
15162.0, 0.99882
15202.0, 0.99882
15242.0, 0.99882
15282.0, 0.99883
15322.0, 0.99883
15362.0, 0.99884
15402.0, 0.99884
15442.0, 0.99884
15482.0, 0.99885
15522.0, 0.99885
15562.0, 0.99886
15602.0, 0.99886
15642.0, 0.99886
15682.0, 0.99887
15722.0, 0.99887
15762.0, 0.99887
15802.0, 0.99888
15842.0, 0.99888
15882.0, 0.99888
15922.0, 0.99889
15962.0, 0.99889
16002.0, 0.99889
16042.0, 0.99890
16082.0, 0.99890
16122.0, 0.99890
16162.0, 0.99891
16202.0, 0.99891
16242.0, 0.99891
16282.0, 0.99892
16322.0, 0.99892
16362.0, 0.99892
16402.0, 0.99893
16442.0, 0.99893
16482.0, 0.99893
16522.0, 0.99894
16562.0, 0.99894
16602.0, 0.99894
16642.0, 0.99894
16682.0, 0.99895
16722.0, 0.99895
16762.0, 0.99895
16802.0, 0.99895
16842.0, 0.99896
16882.0, 0.99896
16922.0, 0.99896
16962.0, 0.99897
17002.0, 0.99897
17041.0, 0.99897
17081.0, 0.99897
17121.0, 0.99898
17161.0, 0.99898
17201.0, 0.99898
17241.0, 0.99898
17281.0, 0.99898
17321.0, 0.99899
17361.0, 0.99899
17401.0, 0.99899
17441.0, 0.99899
17481.0, 0.99900
17521.0, 0.99900
17561.0, 0.99900
17601.0, 0.99900
17641.0, 0.99901
17681.0, 0.99901
17721.0, 0.99901
17761.0, 0.99901
17801.0, 0.99901
17841.0, 0.99902
17881.0, 0.99902
17921.0, 0.99902
17961.0, 0.99902
18001.0, 0.99902
18041.0, 0.99903
18081.0, 0.99903
18121.0, 0.99903
18161.0, 0.99903
18201.0, 0.99903
18241.0, 0.99903
18281.0, 0.99904
18321.0, 0.99904
18361.0, 0.99904
18401.0, 0.99904
18441.0, 0.99904
18481.0, 0.99905
18521.0, 0.99905
